Date,Close,High,Low,Open,Volume,log_return,realized_vol_21d,parkinson_vol_21d,garman_klass_vol_21d
2015-01-02,2058.199951171875,2072.360107421875,2046.0400390625,2058.89990234375,2708700000,,,,
2015-01-05,2020.5799560546875,2054.43994140625,2017.3399658203125,2054.43994140625,3799120000,-0.01844721353258727,,,
2015-01-06,2002.6099853515625,2030.25,1992.43994140625,2022.1500244140625,4460110000,-0.00893325469070017,,,
2015-01-07,2025.9000244140625,2029.6099853515625,2005.550048828125,2005.550048828125,3805480000,0.011562735844876304,,,
2015-01-08,2062.139892578125,2064.080078125,2030.6099853515625,2030.6099853515625,3934010000,0.017730168127155693,,,
2015-01-09,2044.81005859375,2064.429931640625,2038.3299560546875,2063.449951171875,3364140000,-0.008439322147078786,,,
2015-01-12,2028.260009765625,2049.300048828125,2022.5799560546875,2046.1300048828125,3456460000,-0.008126616843470486,,,
2015-01-13,2023.030029296875,2056.929931640625,2008.25,2031.5799560546875,4107300000,-0.0025818854358163217,,,
2015-01-14,2011.27001953125,2018.4000244140625,1988.43994140625,2018.4000244140625,4378680000,-0.00583002896797565,,,
2015-01-15,1992.6700439453125,2021.3499755859373,1991.469970703125,2013.75,4276720000,-0.009290903004567546,,,
2015-01-16,2019.4200439453125,2020.4599609375,1988.1199951171875,1992.25,4056410000,0.013334893186267299,,,
2015-01-20,2022.550048828125,2028.93994140625,2004.489990234375,2020.760009765625,3944340000,0.001548752433400387,,,
2015-01-21,2032.1199951171875,2038.2900390625,2012.0400390625,2020.18994140625,3730070000,0.004720465022189361,,,
2015-01-22,2063.14990234375,2064.6201171875,2026.3800048828125,2034.300048828125,4176050000,0.015154313070630327,,,
2015-01-23,2051.820068359375,2062.97998046875,2050.5400390625,2062.97998046875,3573560000,-0.005506656279301935,,,
2015-01-26,2057.090087890625,2057.6201171875,2040.969970703125,2050.419921875,3465760000,0.0025651679986232745,,,
2015-01-27,2029.550048828125,2047.8599853515625,2019.9100341796875,2047.8599853515625,3329810000,-0.013478287815857576,,,
2015-01-28,2002.1600341796875,2042.489990234375,2001.489990234375,2032.3399658203125,4067530000,-0.01358750281102202,,,
2015-01-29,2021.25,2024.6400146484373,1989.1800537109373,2002.449951171875,4127140000,0.00948951705826357,,,
2015-01-30,1994.989990234375,2023.3199462890625,1993.3800048828125,2019.3499755859373,4568650000,-0.013077099006318498,,,
2015-02-02,2020.8499755859373,2021.6600341796875,1980.9000244140625,1996.6700439453125,4008330000,0.012879170000215295,,0.14985234798144334,0.14545436166171402
2015-02-03,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,0.014336238577453099,0.1809780750480387,0.15014336274531834,0.14298306613407671
2015-02-04,2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000,-0.0041647065724529616,0.16920285354367864,0.1464292305352461,0.14190671351516035
2015-02-05,2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000,0.010238810710909235,0.16878198953225215,0.142571556941703,0.13648828555587134
2015-02-06,2055.469970703125,2072.39990234375,2049.969970703125,2062.280029296875,4232970000,-0.00342402761187852,0.16536584130117948,0.14220998365678672,0.13750657552315085
2015-02-09,2046.739990234375,2056.159912109375,2041.8800048828125,2053.469970703125,3549540000,-0.004256239310481708,0.15396579667129523,0.13884207531268203,0.1365518238871391
2015-02-10,2068.590087890625,2070.860107421875,2048.6201171875,2049.3798828125,3669850000,0.010618979554062366,0.15550684367430298,0.13813429147014394,0.13547260360619698
2015-02-11,2068.530029296875,2073.47998046875,2057.989990234375,2068.550048828125,3596860000,-2.9034010158247172e-05,0.15231075485030882,0.13630456072078054,0.13421396188523116
2015-02-12,2088.47998046875,2088.530029296875,2069.97998046875,2069.97998046875,3788350000,0.009598295065916026,0.1545930411793289,0.12822108292215723,0.12150950738560073
2015-02-13,2096.989990234375,2097.030029296875,2086.699951171875,2088.780029296875,3527450000,0.004066459227779422,0.15245395379056004,0.12481281445661724,0.11642906158290822
